Transaction_ID,Date_Clean,Month,Week,Customer_ID,Product_Category,Product_Name,Price_Clean,Quantity,Revenue,Payment_Status,Date_OutOfRange,Return_ID,Tx_ID_Clean,Return_Date,Refund_Amount,Status,ID_Matched,Had_Return,Ticket_Count,Last_Ticket_Date,Ticket_Subjects,Had_Ticket,Category_Return_Rate,Return_Signal,Dominant_Category,Avg_Sentiment_Score,High_Urgency_Count,Sentiment,Sentiment_Score,Problem_Category,Top_Theme,Urgency
100236,2023-11-24,November,47,C0012,Electronics,Smartphone Z,919.2,1,919.2,Paid,False,,,,,,,False,1,2023-11-29,Not working as expected,True,0.024291497975708502,🟢 Green,Product_Defect,-0.8,1.0,Negative,-0.8,Product_Defect,Product not working,High
100061,2023-11-17,November,46,C0002,Electronics,Laptop X,1598.23,1,1598.23,Paid,False,,,,,,,False,2,2023-12-11,Delivery delay | Can't connect the app,True,0.024291497975708502,🟢 Green,Delivery,-0.75,1.0,Negative,-0.7,Delivery,Late delivery,Medium
101131,2023-12-14,December,50,C0008,Smart Home,NordPlug,23.86,1,23.86,Paid,False,,,,,,,False,5,2023-12-21,Refund for my purchase | Battery dies in 2 days | Can't connect the app | Battery problem with my lock | NordLock Pro battery drains fast,True,0.08076923076923077,🟡 Amber,Product_Defect,-0.78,4.0,Negative,-0.8,Returns,Product not working,Medium
100391,2023-11-28,November,48,C0001,Smart Home,NordTherm,101.68,1,101.68,Paid,False,,,,,,,False,3,2023-12-21,Battery dies in 2 days | Tracking shows no updates,True,0.08076923076923077,🟡 Amber,Product_Defect,-0.7666666666666666,2.0,Negative,-0.8,Product_Defect,Battery drains quickly,High
100319,2023-11-27,November,48,C0004,Accessories,Phone Case,35.72,1,35.72,Paid,False,,,,,,,False,5,2023-12-20,NordLock Pro pairing issue | Can't open the door | Delivery delay | Return request | Battery problem with my lock,True,0.017937219730941704,🟢 Green,Product_Defect,-0.76,3.0,Negative,-0.8,Product_Defect,App connectivity issue,High
100889,2023-12-09,December,49,C0001,Electronics,NoiseCancel Headphones,230.36,1,230.36,Paid,False,,,,,,,False,3,2023-12-21,Battery dies in 2 days | Tracking shows no updates,True,0.024291497975708502,🟢 Green,Product_Defect,-0.7666666666666666,2.0,Negative,-0.8,Product_Defect,Battery drains quickly,High
100105,2023-11-19,November,46,C0056,Smart Home,NordCam Mini,82.4,1,82.4,Paid,False,,,,,,,False,0,,,False,0.08076923076923077,🟡 Amber,,,,,,,,
100603,2023-12-04,December,49,C0002,Electronics,Laptop X,1771.94,1,1771.94,Paid,False,,,,,,,False,2,2023-12-11,Delivery delay | Can't connect the app,True,0.024291497975708502,🟢 Green,Delivery,-0.75,1.0,Negative,-0.7,Delivery,Late delivery,Medium
101189,2023-11-28,November,48,C0001,Smart Home,NordLock Pro,210.88,1,210.88,Paid,False,,,,,,,False,3,2023-12-21,Battery dies in 2 days | Tracking shows no updates,True,0.08076923076923077,🟡 Amber,Product_Defect,-0.7666666666666666,2.0,Negative,-0.8,Product_Defect,Battery drains quickly,High
100563,2023-12-03,December,48,C0008,Electronics,Smartphone Z,855.14,1,855.14,Paid,False,R000001,100563.0,2023-12-15,855.14,Processed,True,True,5,2023-12-21,Refund for my purchase | Battery dies in 2 days | Can't connect the app | Battery problem with my lock | NordLock Pro battery drains fast,True,0.024291497975708502,🟢 Green,Product_Defect,-0.78,4.0,Negative,-0.8,Returns,Product not working,Medium
100366,2023-11-28,November,48,C0004,Electronics,Smartphone Z,1024.64,1,1024.64,Paid,False,,,,,,,False,5,2023-12-20,NordLock Pro pairing issue | Can't open the door | Delivery delay | Return request | Battery problem with my lock,True,0.024291497975708502,🟢 Green,Product_Defect,-0.76,3.0,Negative,-0.8,Product_Defect,App connectivity issue,High
100996,2023-12-12,December,50,C0003,Smart Home,NordLock Pro,222.61,1,222.61,Paid,False,,,,,,,False,3,2023-12-21,NordLock Pro battery drains fast | Not working as expected | Locked out of my home,True,0.08076923076923077,🟡 Amber,Product_Defect,-0.8333333333333334,3.0,Negative,-0.8,Product_Defect,Product failure,High
100043,2023-11-16,November,46,C0002,Electronics,TV Pro,1164.3,1,1164.3,Paid,False,,,,,,,False,2,2023-12-11,Delivery delay | Can't connect the app,True,0.024291497975708502,🟢 Green,Delivery,-0.75,1.0,Negative,-0.7,Delivery,Late delivery,Medium
100725,2023-12-06,December,49,C0003,Accessories,Laptop Sleeve,27.13,2,54.26,Paid,False,,,,,,,False,3,2023-12-21,NordLock Pro battery drains fast | Not working as expected | Locked out of my home,True,0.017937219730941704,🟢 Green,Product_Defect,-0.8333333333333334,3.0,Negative,-0.8,Product_Defect,Product failure,High
100456,2023-11-30,November,48,C0001,Smart Home,NordTherm,105.45,1,105.45,Paid,False,,,,,,,False,3,2023-12-21,Battery dies in 2 days | Tracking shows no updates,True,0.08076923076923077,🟡 Amber,Product_Defect,-0.7666666666666666,2.0,Negative,-0.8,Product_Defect,Battery drains quickly,High
100537,2023-12-02,December,48,C0030,Electronics,NoiseCancel Headphones,290.46,1,290.46,Paid,False,,,,,,,False,7,2023-12-20,Where is my order? | Very disappointed | Can't connect the app | I want a refund | Tracking shows no updates | NordLock Pro battery drains fast,True,0.024291497975708502,🟢 Green,Product_Defect,-0.6714285714285715,3.0,Negative,-0.6,Delivery,Delivery delay,Medium
101176,2023-11-24,November,47,C0017,Accessories,Phone Case,34.84,1,34.84,Paid,False,,,,,,,False,7,2023-12-19,NordLock Pro pairing issue | Can't open the door | Delivery delay | Tracking shows no updates,True,0.017937219730941704,🟢 Green,Delivery,-0.6833333333333332,3.0,Negative,-0.7,Product_Defect,App connection failure,High
101058,2023-12-13,December,50,C0001,Electronics,Laptop X,1504.82,1,1504.82,Paid,False,,,,,,,False,3,2023-12-21,Battery dies in 2 days | Tracking shows no updates,True,0.024291497975708502,🟢 Green,Product_Defect,-0.7666666666666666,2.0,Negative,-0.8,Product_Defect,Battery drains quickly,High
100032,2023-11-16,November,46,C0094,Electronics,Laptop X,1585.05,1,1585.05,Paid,False,,,,,,,False,0,,,False,0.024291497975708502,🟢 Green,,,,,,,,
100455,2023-11-30,November,48,C0117,Smart Home,NordLock Pro,205.04,2,410.08,Paid,False,,,,,,,False,4,2023-12-21,Battery problem with my lock | NordLock Pro battery drains fast | App cannot connect to WiFi,True,0.08076923076923077,🟡 Amber,Product_Defect,-0.75,4.0,Negative,-0.8,Product_Defect,Device battery issue,High
100354,2023-11-28,November,48,C0002,Smart Home,NordLock Pro,201.09,1,201.09,Paid,False,,,,,,,False,2,2023-12-11,Delivery delay | Can't connect the app,True,0.08076923076923077,🟡 Amber,Delivery,-0.75,1.0,Negative,-0.7,Delivery,Late delivery,Medium
101181,2023-12-08,December,49,C0006,Accessories,Accessory Bundle,27.11,1,27.11,Paid,False,,,,,,,False,4,2023-12-13,Very disappointed | Return request | NordLock Pro pairing issue | Where is my order?,True,0.017937219730941704,🟢 Green,Product_Defect,-0.75,2.0,Negative,-0.8,Product_Defect,Defective product,High
100062,2023-11-17,November,46,C0001,Smart Home,NordLock Pro,221.97,1,221.97,Paid,False,,,,,,,False,3,2023-12-21,Battery dies in 2 days | Tracking shows no updates,True,0.08076923076923077,🟡 Amber,Product_Defect,-0.7666666666666666,2.0,Negative,-0.8,Product_Defect,Battery drains quickly,High
100858,2023-12-09,December,49,C0001,Electronics,TV Pro,1060.25,1,1060.25,Failed,False,,,,,,,False,3,2023-12-21,Battery dies in 2 days | Tracking shows no updates,True,0.024291497975708502,🟢 Green,Product_Defect,-0.7666666666666666,2.0,Negative,-0.8,Product_Defect,Battery drains quickly,High
101049,2023-12-13,December,50,C0001,Electronics,NoiseCancel Headphones,288.0,1,288.0,Paid,False,,,,,,,False,3,2023-12-21,Battery dies in 2 days | Tracking shows no updates,True,0.024291497975708502,🟢 Green,Product_Defect,-0.7666666666666666,2.0,Negative,-0.8,Product_Defect,Battery drains quickly,High
100686,2023-12-05,December,49,C0059,Electronics,Tablet A,753.9,1,753.9,Paid,False,,,,,,,False,2,2023-12-10,NordLock Pro battery drains fast | Battery problem with my lock,True,0.024291497975708502,🟢 Green,Product_Defect,-0.8,2.0,Negative,-0.8,Product_Defect,Smart lock battery issue,High
100233,2023-11-24,November,47,C0278,Electronics,TV Pro,1041.16,1,1041.16,Paid,False,,,,,,,False,0,,,False,0.024291497975708502,🟢 Green,,,,,,,,
100094,2023-11-18,November,46,C0076,Accessories,Charger,28.32,3,84.96000000000001,Paid,False,,,,,,,False,2,2023-12-18,NordLock Pro pairing issue | Return request,True,0.017937219730941704,🟢 Green,Product_Defect,-0.7,1.0,Negative,-0.6,Product_Defect,App connectivity issue,High
100215,2023-11-23,November,47,C0063,Electronics,Smartphone Z,1077.99,1,1077.99,Paid,False,,,,,,,False,0,,,False,0.024291497975708502,🟢 Green,,,,,,,,
100310,2023-11-26,November,47,C0002,Electronics,TV Pro,1601.36,1,1601.36,Paid,False,,,,,,,False,2,2023-12-11,Delivery delay | Can't connect the app,True,0.024291497975708502,🟢 Green,Delivery,-0.75,1.0,Negative,-0.7,Delivery,Late delivery,Medium
100202,2023-11-23,November,47,C0002,Smart Home,NordLock Pro,186.48,1,186.48,Pending,False,,,,,,,False,2,2023-12-11,Delivery delay | Can't connect the app,True,0.08076923076923077,🟡 Amber,Delivery,-0.75,1.0,Negative,-0.7,Delivery,Late delivery,Medium
100290,2023-11-25,November,47,C0002,Accessories,Phone Case,12.32,1,12.32,Paid,False,,,,,,,False,2,2023-12-11,Delivery delay | Can't connect the app,True,0.017937219730941704,🟢 Green,Delivery,-0.75,1.0,Negative,-0.7,Delivery,Late delivery,Medium
100737,2023-12-06,December,49,C0015,Electronics,Tablet A,672.16,1,672.16,Paid,False,,,,,,,False,4,2023-12-20,Where is my order? | Battery dies in 2 days | NordLock Pro battery drains fast,True,0.024291497975708502,🟢 Green,Product_Defect,-0.775,2.0,Negative,-0.6,Delivery,Order tracking issue,Medium
100318,2023-11-27,November,48,C0005,Electronics,Smartphone Z,727.66,1,727.66,Paid,False,,,,,,,False,4,2023-12-18,Return request | Locked out of my home | Not working as expected | Battery dies in 2 days,True,0.024291497975708502,🟢 Green,Product_Defect,-0.775,2.0,Negative,-0.6,Returns,Product not as described,Medium
